row,recommendationid,n_labels,bugs_crashes,developer_conduct,difficulty_punishing,monetization_dlc,non_substantive,npc_ai_pathing,opacity_teaching,performance,procgen_hollow,rng_unfair,shallow_repetitive,taste_mismatch,tedium_grind,ui_controls,unfinished_abandoned,update_regression
1,229409834,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,226378555,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
3,213775097,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
4,229654561,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5,197611891,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,227110669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,222208545,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
8,225336913,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,224496808,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,228368907,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
11,216065723,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,224558540,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,228995398,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,209737375,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15,229312646,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,223047208,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
17,226387627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,219312404,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,223806263,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,229028612,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,224645168,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,220968276,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
23,230949925,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,224691060,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
25,223887340,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
26,230152959,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,225353767,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,224619830,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,222452936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,220239126,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,200272300,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
32,226711499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,228127024,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,231032118,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,229209965,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,227123444,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,223837070,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,221408632,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
39,228921283,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,228455835,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,220021937,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,231186680,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,230557936,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,209306164,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,226443214,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,225083799,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,230444284,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,205608536,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,228676661,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
50,230903897,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,224799395,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,230353935,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,221445643,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,229583393,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,224195147,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,211047994,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,220137957,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
58,224646627,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
59,200892562,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,202369430,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,231163756,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
62,199049518,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
63,229629989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,225266644,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
65,224563604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,231174954,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,223334754,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,230530161,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,230866760,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,214004464,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
71,230725188,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
72,227280710,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
73,225734174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,207203821,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
75,188098573,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
76,231752685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,217568045,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
78,223867887,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,227018138,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,192991650,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,230186992,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,224916321,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
83,221316629,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,222420523,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,229383790,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,229110842,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
87,231786611,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,230773586,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,220432607,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,230348825,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
91,206001131,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,218593999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,223934718,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,224609546,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
95,231004509,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,224520111,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
97,215074720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,215375668,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
99,230931206,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
100,228985254,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,229083355,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,224023783,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,202446505,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
104,213473539,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
105,214577472,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106,231187028,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107,213736526,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,191266546,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
109,185768751,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,231389506,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
111,214435469,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,200237627,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
113,219015513,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,226962699,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
115,184017522,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
116,200786933,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,231329942,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,228942522,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
119,228241770,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,231506832,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,229524949,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,229940211,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
123,214156318,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
124,229750787,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
125,230843013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,159572316,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
127,228370556,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,224590935,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
129,224611353,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
130,223431275,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,224576883,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
132,220705004,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,231848550,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,176197274,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
135,230857892,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,156356072,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
137,226426253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,229711910,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
139,226839023,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,207266336,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
141,224890082,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
142,203136394,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
143,224163331,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
144,225226927,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,224948066,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
146,188631501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,230406938,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
148,218364517,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,162909116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,153501750,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
