appid,name,axis,n_negative,rate_bugs_crashes,rate_developer_conduct,rate_difficulty_punishing,rate_monetization_dlc,rate_npc_ai_pathing,rate_opacity_teaching,rate_performance,rate_procgen_hollow,rate_rng_unfair,rate_shallow_repetitive,rate_taste_mismatch,rate_tedium_grind,rate_ui_controls,rate_unfinished_abandoned,rate_update_regression,rate_non_substantive,rate_uncoded
242920,Banished,colony,111,0.1441,0.0991,0.045,0.045,0.1622,0.0721,0.018,0.0,0.0811,0.0991,0.009,0.0721,0.1081,0.1171,0.0631,0.0901,0.3153
333640,Caves of Qud,emergent,64,0.125,0.1406,0.1719,0.0469,0.125,0.1719,0.0156,0.1875,0.25,0.1719,0.0312,0.2188,0.2969,0.0781,0.0312,0.0469,0.2344
1158310,Crusader Kings III,grand,159,0.195,0.2704,0.0126,0.3082,0.1447,0.044,0.0377,0.0,0.0629,0.044,0.0314,0.0881,0.0818,0.0314,0.1635,0.0943,0.1824
975370,Dwarf Fortress,colony,105,0.219,0.1524,0.0286,0.0571,0.1905,0.181,0.0762,0.0095,0.1143,0.0667,0.019,0.1048,0.3524,0.0381,0.1524,0.0571,0.1714
236850,Europa Universalis IV,grand,146,0.0822,0.1849,0.0137,0.2055,0.0822,0.0822,0.0068,0.0,0.0548,0.0822,0.0,0.0274,0.1096,0.0,0.0411,0.1918,0.2466
427520,Factorio,colony,37,0.1622,0.1081,0.027,0.0541,0.027,0.027,0.0811,0.0,0.0,0.0,0.0541,0.0,0.0541,0.0,0.0541,0.1892,0.4054
1029780,Going Medieval,colony,231,0.2468,0.2208,0.0216,0.0779,0.3203,0.0433,0.0433,0.0043,0.0779,0.1126,0.0,0.1342,0.1255,0.2078,0.0952,0.0476,0.2078
599140,Graveyard Keeper,life,290,0.1586,0.1103,0.0276,0.1586,0.2103,0.2517,0.0759,0.0034,0.0586,0.1345,0.0241,0.4517,0.0621,0.0655,0.0069,0.0552,0.1655
233860,Kenshi,emergent,88,0.2727,0.0568,0.1136,0.0455,0.1023,0.0795,0.0568,0.0,0.0568,0.0909,0.0114,0.1364,0.2045,0.1023,0.0568,0.0909,0.2727
666140,My Time at Portia,life,235,0.3574,0.1404,0.0213,0.0936,0.183,0.1064,0.0851,0.0085,0.0809,0.1277,0.0298,0.2681,0.1447,0.1064,0.0383,0.0638,0.1617
457140,Oxygen Not Included,colony,76,0.0921,0.0395,0.0526,0.0395,0.1316,0.1711,0.0263,0.0,0.0132,0.0263,0.0789,0.1316,0.0789,0.0,0.0395,0.1184,0.3421
294100,RimWorld,colony,52,0.1346,0.0769,0.0192,0.3077,0.0769,0.0192,0.0769,0.0192,0.0769,0.0962,0.0385,0.1154,0.0962,0.0385,0.0577,0.1731,0.2308
986130,Shadows of Doubt,emergent,389,0.4653,0.2159,0.0308,0.0488,0.1979,0.1157,0.1465,0.1183,0.1028,0.0694,0.0051,0.0771,0.1131,0.2828,0.1491,0.09,0.1183
1162750,Songs of Syx,colony,124,0.1935,0.1935,0.0645,0.0403,0.1371,0.2661,0.0726,0.0,0.0887,0.0806,0.0,0.1613,0.2097,0.1129,0.0806,0.0323,0.2581
972660,Spiritfarer®: Farewell Edition,life,86,0.0349,0.0814,0.0116,0.0,0.1163,0.0349,0.0,0.0116,0.0233,0.1977,0.0698,0.4651,0.0698,0.0233,0.0116,0.093,0.2209
413150,Stardew Valley,life,16,0.0,0.0625,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.125,0.0625,0.1875,0.0,0.0625,0.0,0.25,0.375
1222670,The Sims™ 4,life,223,0.1883,0.2915,0.0,0.3184,0.0493,0.0359,0.0135,0.0,0.0135,0.0224,0.0,0.009,0.0135,0.0314,0.1121,0.13,0.2735
529340,Victoria 3,grand,472,0.3665,0.3453,0.0042,0.2712,0.1377,0.1144,0.0445,0.0085,0.0678,0.0763,0.0148,0.089,0.1547,0.0678,0.25,0.072,0.1462
763890,Wildermyth,emergent,100,0.06,0.05,0.07,0.03,0.06,0.1,0.01,0.07,0.16,0.23,0.03,0.2,0.11,0.03,0.03,0.08,0.31
