recommendationid,appid,name,axis,n_labels,bugs_crashes,developer_conduct,difficulty_punishing,monetization_dlc,npc_ai_pathing,opacity_teaching,performance,procgen_hollow,rng_unfair,shallow_repetitive,taste_mismatch,tedium_grind,ui_controls,unfinished_abandoned,update_regression,non_substantive,uncoded
231876669,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
231854795,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
231780698,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
231524714,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
231488274,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
231487863,294100,RimWorld,colony,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
231412545,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
231399370,294100,RimWorld,colony,10,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0
231383161,294100,RimWorld,colony,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
231322020,294100,RimWorld,colony,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
231213580,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
231207697,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
231072641,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
231048833,294100,RimWorld,colony,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
231004509,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230999187,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230919187,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
230880647,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230796716,294100,RimWorld,colony,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
230702266,294100,RimWorld,colony,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
230648479,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
230647065,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230499368,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230499119,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230497145,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230182192,294100,RimWorld,colony,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
230176107,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
230125021,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230118813,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230061301,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
229998633,294100,RimWorld,colony,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229940211,294100,RimWorld,colony,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
229898021,294100,RimWorld,colony,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229838312,294100,RimWorld,colony,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229790981,294100,RimWorld,colony,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229786449,294100,RimWorld,colony,5,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
229750880,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
229737724,294100,RimWorld,colony,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229729082,294100,RimWorld,colony,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
229717913,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
229711910,294100,RimWorld,colony,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
229693487,294100,RimWorld,colony,7,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0
