appid,name,axis,lifetime_total_all_lang,lifetime_positive_all_lang,lifetime_pos_rate_all_lang,lifetime_total_english,lifetime_positive_english,lifetime_pos_rate_english,sampled_n,sampled_positive,sampled_pos_rate,review_score_desc
294100,RimWorld,colony,243961,238732,0.9786,141565,138653,0.9794,1200,1148,0.9567,Overwhelmingly Positive
975370,Dwarf Fortress,colony,31323,29692,0.9479,25830,24496,0.9484,1200,1095,0.9125,Very Positive
457140,Oxygen Not Included,colony,143005,138335,0.9673,52183,50017,0.9585,1200,1121,0.9342,Overwhelmingly Positive
427520,Factorio,colony,232721,226930,0.9751,145069,142533,0.9825,1200,1163,0.9692,Overwhelmingly Positive
1162750,Songs of Syx,colony,9017,8519,0.9448,6545,6175,0.9435,1200,1076,0.8967,Very Positive
242920,Banished,colony,43240,39098,0.9042,29307,26464,0.903,1200,1086,0.905,Very Positive
1029780,Going Medieval,colony,21232,18926,0.8914,10201,9047,0.8869,1200,967,0.8058,Very Positive
1158310,Crusader Kings III,grand,142138,128564,0.9045,68186,61338,0.8996,1200,1039,0.8658,Very Positive
236850,Europa Universalis IV,grand,137041,120136,0.8766,68956,60225,0.8734,1200,1051,0.8758,Very Positive
529340,Victoria 3,grand,60590,42629,0.7036,28139,19213,0.6828,1198,723,0.6035,Mostly Positive
333640,Caves of Qud,emergent,12490,11879,0.9511,11288,10740,0.9515,1198,1132,0.9449,Overwhelmingly Positive
233860,Kenshi,emergent,115198,110097,0.9557,56125,53369,0.9509,1200,1110,0.925,Overwhelmingly Positive
763890,Wildermyth,emergent,18208,17237,0.9467,13082,12415,0.949,1200,1100,0.9167,Very Positive
986130,Shadows of Doubt,emergent,17596,14461,0.8218,12683,10256,0.8086,1200,809,0.6742,Very Positive
1222670,The Sims™ 4,life,198285,171335,0.8641,105758,91876,0.8687,1200,975,0.8125,Very Positive
413150,Stardew Valley,life,1028357,1012716,0.9848,463184,457846,0.9885,1200,1184,0.9867,Overwhelmingly Positive
666140,My Time at Portia,life,44244,40486,0.9151,15842,14505,0.9156,1200,965,0.8042,Very Positive
599140,Graveyard Keeper,life,54624,46645,0.8539,24242,20030,0.8263,1200,908,0.7567,Very Positive
972660,Spiritfarer®: Farewell Edition,life,52962,50288,0.9495,21697,20604,0.9496,1200,1114,0.9283,Very Positive
