recommendationid,appid,name,axis
223053943,1029780,Going Medieval,colony
202532582,1029780,Going Medieval,colony
220960089,1029780,Going Medieval,colony
221284272,1029780,Going Medieval,colony
224197261,1029780,Going Medieval,colony
221707265,1029780,Going Medieval,colony
221938108,1029780,Going Medieval,colony
228519248,1158310,Crusader Kings III,grand
229990631,1158310,Crusader Kings III,grand
228880425,1158310,Crusader Kings III,grand
228962321,1158310,Crusader Kings III,grand
230516606,1158310,Crusader Kings III,grand
228464072,1162750,Songs of Syx,colony
224290207,1162750,Songs of Syx,colony
223729676,1162750,Songs of Syx,colony
219754048,1162750,Songs of Syx,colony
230998197,1222670,The Sims™ 4,life
229499506,1222670,The Sims™ 4,life
229718774,1222670,The Sims™ 4,life
230787546,1222670,The Sims™ 4,life
231562838,1222670,The Sims™ 4,life
230925292,1222670,The Sims™ 4,life
231096074,1222670,The Sims™ 4,life
231030545,233860,Kenshi,emergent
226809257,233860,Kenshi,emergent
228753969,233860,Kenshi,emergent
221071085,236850,Europa Universalis IV,grand
230891108,236850,Europa Universalis IV,grand
213910050,236850,Europa Universalis IV,grand
223035520,236850,Europa Universalis IV,grand
214388199,236850,Europa Universalis IV,grand
219172704,242920,Banished,colony
215144327,242920,Banished,colony
231289988,242920,Banished,colony
199205233,242920,Banished,colony
230499119,294100,RimWorld,colony
229479805,294100,RimWorld,colony
220393814,333640,Caves of Qud,emergent
218648123,333640,Caves of Qud,emergent
225606931,333640,Caves of Qud,emergent
231407189,413150,Stardew Valley,life
231022272,413150,Stardew Valley,life
229286693,427520,Factorio,colony
231405871,427520,Factorio,colony
230869410,457140,Oxygen Not Included,colony
223060926,457140,Oxygen Not Included,colony
231302772,457140,Oxygen Not Included,colony
220836065,529340,Victoria 3,grand
227256303,529340,Victoria 3,grand
226171421,529340,Victoria 3,grand
224557921,529340,Victoria 3,grand
231057038,529340,Victoria 3,grand
224346302,529340,Victoria 3,grand
224458195,529340,Victoria 3,grand
225347234,529340,Victoria 3,grand
230639449,529340,Victoria 3,grand
226188842,529340,Victoria 3,grand
230651908,529340,Victoria 3,grand
225288347,529340,Victoria 3,grand
224498994,529340,Victoria 3,grand
226904150,529340,Victoria 3,grand
231511986,599140,Graveyard Keeper,life
230350598,599140,Graveyard Keeper,life
230400496,599140,Graveyard Keeper,life
226677838,599140,Graveyard Keeper,life
225110659,599140,Graveyard Keeper,life
224678612,599140,Graveyard Keeper,life
226136636,599140,Graveyard Keeper,life
227003344,599140,Graveyard Keeper,life
225143130,599140,Graveyard Keeper,life
231081202,666140,My Time at Portia,life
179040891,666140,My Time at Portia,life
153575458,666140,My Time at Portia,life
196032718,666140,My Time at Portia,life
169100497,666140,My Time at Portia,life
163277654,666140,My Time at Portia,life
184967391,666140,My Time at Portia,life
208807030,763890,Wildermyth,emergent
176466391,763890,Wildermyth,emergent
218973549,763890,Wildermyth,emergent
176180120,763890,Wildermyth,emergent
227939405,972660,Spiritfarer®: Farewell Edition,life
225774752,972660,Spiritfarer®: Farewell Edition,life
213807198,972660,Spiritfarer®: Farewell Edition,life
216897029,975370,Dwarf Fortress,colony
225151625,975370,Dwarf Fortress,colony
218795660,975370,Dwarf Fortress,colony
231157165,975370,Dwarf Fortress,colony
216103956,986130,Shadows of Doubt,emergent
223189737,986130,Shadows of Doubt,emergent
222962515,986130,Shadows of Doubt,emergent
219153844,986130,Shadows of Doubt,emergent
206297707,986130,Shadows of Doubt,emergent
230606113,986130,Shadows of Doubt,emergent
223349321,986130,Shadows of Doubt,emergent
216189733,986130,Shadows of Doubt,emergent
223061940,986130,Shadows of Doubt,emergent
217088812,986130,Shadows of Doubt,emergent
230519681,986130,Shadows of Doubt,emergent
215889972,986130,Shadows of Doubt,emergent
