recommendationid,appid,reason
231404392,294100,text under 3 chars
231363671,294100,text under 3 chars
231300096,294100,text under 3 chars
231154887,294100,text under 3 chars
230870195,294100,text under 3 chars
230542368,294100,text under 3 chars
230477488,294100,text under 3 chars
230472667,294100,text under 3 chars
230425507,294100,text under 3 chars
230254309,294100,text under 3 chars
230204966,294100,text under 3 chars
230091440,294100,text under 3 chars
230071201,294100,text under 3 chars
229940779,294100,text under 3 chars
229910256,294100,text under 3 chars
229869941,294100,text under 3 chars
229625454,294100,text under 3 chars
229611325,294100,text under 3 chars
229462145,294100,text under 3 chars
229335552,294100,text under 3 chars
229329725,294100,text under 3 chars
229276406,294100,text under 3 chars
229058853,294100,text under 3 chars
229836528,975370,text under 3 chars
229559476,975370,text under 3 chars
223788288,975370,text under 3 chars
222282341,975370,text under 3 chars
221216833,975370,text under 3 chars
218770407,975370,text under 3 chars
218386166,975370,text under 3 chars
217580608,975370,text under 3 chars
216780789,975370,text under 3 chars
215703445,975370,text under 3 chars
231757609,457140,text under 3 chars
231035708,457140,text under 3 chars
230756518,457140,text under 3 chars
230449983,457140,text under 3 chars
230167127,457140,text under 3 chars
229291038,457140,text under 3 chars
229179101,457140,text under 3 chars
229127494,457140,text under 3 chars
229036013,457140,text under 3 chars
228633042,457140,text under 3 chars
228575529,457140,text under 3 chars
228556265,457140,text under 3 chars
228534691,457140,text under 3 chars
228430180,457140,text under 3 chars
228081742,457140,text under 3 chars
227785279,457140,text under 3 chars
227768889,457140,text under 3 chars
227732905,457140,text under 3 chars
227518419,457140,text under 3 chars
226928025,457140,text under 3 chars
226817923,457140,text under 3 chars
226037862,457140,text under 3 chars
225972654,457140,text under 3 chars
225297478,457140,text under 3 chars
225142580,457140,text under 3 chars
224875832,457140,text under 3 chars
224836516,457140,text under 3 chars
224727342,457140,text under 3 chars
224648492,457140,text under 3 chars
224400597,457140,text under 3 chars
224109082,457140,text under 3 chars
224092475,457140,text under 3 chars
223765987,457140,text under 3 chars
223671972,457140,text under 3 chars
223393437,457140,text under 3 chars
223006269,457140,text under 3 chars
231873673,427520,text under 3 chars
231812571,427520,text under 3 chars
231598304,427520,text under 3 chars
230804310,427520,text under 3 chars
230404085,427520,text under 3 chars
230363209,427520,text under 3 chars
230287203,427520,text under 3 chars
230249002,427520,text under 3 chars
230074571,427520,text under 3 chars
229990291,427520,text under 3 chars
229746496,427520,text under 3 chars
229739254,427520,text under 3 chars
229622063,427520,text under 3 chars
229615685,427520,text under 3 chars
229086899,427520,text under 3 chars
228917544,427520,text under 3 chars
228898856,427520,text under 3 chars
228858285,427520,text under 3 chars
231800186,1162750,text under 3 chars
230478669,1162750,text under 3 chars
228921943,1162750,text under 3 chars
228228064,1162750,text under 3 chars
223722525,1162750,text under 3 chars
223505253,1162750,text under 3 chars
222392284,1162750,text under 3 chars
222163524,1162750,text under 3 chars
222054799,1162750,text under 3 chars
221265460,1162750,text under 3 chars
219372304,1162750,text under 3 chars
217640324,1162750,text under 3 chars
217351414,1162750,text under 3 chars
216971113,1162750,text under 3 chars
216578365,1162750,text under 3 chars
229489073,242920,text under 3 chars
226924906,242920,text under 3 chars
222770851,242920,text under 3 chars
221764000,242920,text under 3 chars
219329970,242920,text under 3 chars
219297388,242920,text under 3 chars
218982583,242920,text under 3 chars
216087674,242920,text under 3 chars
215581202,242920,text under 3 chars
208802550,242920,text under 3 chars
208555639,242920,text under 3 chars
206828446,242920,text under 3 chars
206400398,242920,text under 3 chars
205496956,242920,text under 3 chars
204056301,242920,text under 3 chars
202335545,242920,text under 3 chars
199694891,242920,text under 3 chars
196408714,242920,text under 3 chars
193522785,242920,text under 3 chars
193433133,242920,text under 3 chars
192840849,242920,text under 3 chars
190208446,242920,text under 3 chars
189523924,242920,text under 3 chars
188804699,242920,text under 3 chars
188379497,242920,text under 3 chars
187441977,242920,text under 3 chars
185165720,242920,text under 3 chars
184228259,242920,text under 3 chars
183743167,242920,text under 3 chars
231562741,1029780,text under 3 chars
231075010,1029780,text under 3 chars
230640792,1029780,text under 3 chars
230147702,1029780,text under 3 chars
227225768,1029780,text under 3 chars
226620990,1029780,text under 3 chars
223393894,1029780,text under 3 chars
222538153,1029780,text under 3 chars
222440117,1029780,text under 3 chars
222306169,1029780,text under 3 chars
222121970,1029780,text under 3 chars
221977374,1029780,text under 3 chars
221932085,1029780,text under 3 chars
221266021,1029780,text under 3 chars
213511501,1029780,text under 3 chars
206124855,1029780,text under 3 chars
228509263,529340,text under 3 chars
226573799,529340,text under 3 chars
226327974,529340,text under 3 chars
225806935,529340,text under 3 chars
225226171,529340,text under 3 chars
225149822,529340,text under 3 chars
224042014,529340,text under 3 chars
222060623,529340,text under 3 chars
221775562,529340,text under 3 chars
221768840,529340,text under 3 chars
221249621,529340,text under 3 chars
221194728,529340,text under 3 chars
221140757,529340,text under 3 chars
220826121,529340,text under 3 chars
231311265,333640,text under 3 chars
230673567,333640,text under 3 chars
230590578,333640,text under 3 chars
229642047,333640,text under 3 chars
228954268,333640,text under 3 chars
227833066,333640,text under 3 chars
224746304,333640,text under 3 chars
221401744,333640,text under 3 chars
219406798,333640,text under 3 chars
219151117,333640,text under 3 chars
217238177,333640,text under 3 chars
216370340,333640,text under 3 chars
216307514,333640,text under 3 chars
214947466,333640,text under 3 chars
214834191,333640,text under 3 chars
213525644,333640,text under 3 chars
211599392,333640,text under 3 chars
211275845,333640,text under 3 chars
211243622,333640,text under 3 chars
231446150,233860,text under 3 chars
231360296,233860,text under 3 chars
231306549,233860,text under 3 chars
230971160,233860,text under 3 chars
230927083,233860,text under 3 chars
230524161,233860,text under 3 chars
229996798,233860,text under 3 chars
229756327,233860,text under 3 chars
229495586,233860,text under 3 chars
229339788,233860,text under 3 chars
229285410,233860,text under 3 chars
