recommendationid,appid,name,axis
220021937,1029780,Going Medieval,colony
220968276,1029780,Going Medieval,colony
221445643,1029780,Going Medieval,colony
207203821,1029780,Going Medieval,colony
225336913,1029780,Going Medieval,colony
209737375,1029780,Going Medieval,colony
226839023,1029780,Going Medieval,colony
222452936,1029780,Going Medieval,colony
225734174,1029780,Going Medieval,colony
209306164,1029780,Going Medieval,colony
224195147,1029780,Going Medieval,colony
231187028,1158310,Crusader Kings III,grand
230186992,1158310,Crusader Kings III,grand
230866760,1158310,Crusader Kings III,grand
230843013,1158310,Crusader Kings III,grand
226426253,1158310,Crusader Kings III,grand
231329942,1158310,Crusader Kings III,grand
230949925,1158310,Crusader Kings III,grand
229312646,1158310,Crusader Kings III,grand
227018138,1162750,Songs of Syx,colony
223806263,1162750,Songs of Syx,colony
224611353,1162750,Songs of Syx,colony
229083355,1162750,Songs of Syx,colony
230725188,1162750,Songs of Syx,colony
229028612,1162750,Songs of Syx,colony
228455835,1162750,Songs of Syx,colony
231752685,1222670,The Sims™ 4,life
230857892,1222670,The Sims™ 4,life
231174954,1222670,The Sims™ 4,life
230557936,1222670,The Sims™ 4,life
231186680,1222670,The Sims™ 4,life
229383790,1222670,The Sims™ 4,life
229629989,1222670,The Sims™ 4,life
231032118,1222670,The Sims™ 4,life
231506832,1222670,The Sims™ 4,life
231848550,1222670,The Sims™ 4,life
229209965,233860,Kenshi,emergent
227280710,233860,Kenshi,emergent
229654561,233860,Kenshi,emergent
226711499,233860,Kenshi,emergent
230152959,233860,Kenshi,emergent
229583393,236850,Europa Universalis IV,grand
229409834,236850,Europa Universalis IV,grand
214156318,236850,Europa Universalis IV,grand
222420523,236850,Europa Universalis IV,grand
225226927,236850,Europa Universalis IV,grand
227123444,236850,Europa Universalis IV,grand
230530161,236850,Europa Universalis IV,grand
188631501,242920,Banished,colony
200237627,242920,Banished,colony
228127024,242920,Banished,colony
213775097,242920,Banished,colony
192991650,242920,Banished,colony
197611891,242920,Banished,colony
229940211,294100,RimWorld,colony
229524949,294100,RimWorld,colony
229711910,294100,RimWorld,colony
231004509,294100,RimWorld,colony
220137957,333640,Caves of Qud,emergent
215375668,333640,Caves of Qud,emergent
220239126,333640,Caves of Qud,emergent
211047994,333640,Caves of Qud,emergent
231389506,413150,Stardew Valley,life
231163756,413150,Stardew Valley,life
230931206,427520,Factorio,colony
228985254,427520,Factorio,colony
228921283,427520,Factorio,colony
228676661,457140,Oxygen Not Included,colony
229110842,457140,Oxygen Not Included,colony
223837070,457140,Oxygen Not Included,colony
223867887,457140,Oxygen Not Included,colony
228241770,457140,Oxygen Not Included,colony
224496808,529340,Victoria 3,grand
226443214,529340,Victoria 3,grand
229750787,529340,Victoria 3,grand
225353767,529340,Victoria 3,grand
223431275,529340,Victoria 3,grand
226387627,529340,Victoria 3,grand
224558540,529340,Victoria 3,grand
230353935,529340,Victoria 3,grand
224799395,529340,Victoria 3,grand
224576883,529340,Victoria 3,grand
225083799,529340,Victoria 3,grand
220432607,529340,Victoria 3,grand
230773586,529340,Victoria 3,grand
220705004,529340,Victoria 3,grand
224619830,529340,Victoria 3,grand
223934718,529340,Victoria 3,grand
224590935,529340,Victoria 3,grand
230444284,529340,Victoria 3,grand
224916321,529340,Victoria 3,grand
224563604,529340,Victoria 3,grand
228995398,599140,Graveyard Keeper,life
225266644,599140,Graveyard Keeper,life
230348825,599140,Graveyard Keeper,life
226962699,599140,Graveyard Keeper,life
224890082,599140,Graveyard Keeper,life
228942522,599140,Graveyard Keeper,life
231786611,599140,Graveyard Keeper,life
224948066,599140,Graveyard Keeper,life
227110669,599140,Graveyard Keeper,life
224609546,599140,Graveyard Keeper,life
224645168,599140,Graveyard Keeper,life
224520111,599140,Graveyard Keeper,life
224646627,599140,Graveyard Keeper,life
200786933,666140,My Time at Portia,life
202446505,666140,My Time at Portia,life
203136394,666140,My Time at Portia,life
153501750,666140,My Time at Portia,life
159572316,666140,My Time at Portia,life
162909116,666140,My Time at Portia,life
200892562,666140,My Time at Portia,life
188098573,666140,My Time at Portia,life
156356072,666140,My Time at Portia,life
200272300,666140,My Time at Portia,life
185768751,666140,My Time at Portia,life
202369430,763890,Wildermyth,emergent
176197274,763890,Wildermyth,emergent
223887340,763890,Wildermyth,emergent
184017522,763890,Wildermyth,emergent
191266546,763890,Wildermyth,emergent
199049518,763890,Wildermyth,emergent
222208545,972660,Spiritfarer®: Farewell Edition,life
221408632,972660,Spiritfarer®: Farewell Edition,life
216065723,972660,Spiritfarer®: Farewell Edition,life
226378555,972660,Spiritfarer®: Farewell Edition,life
224691060,972660,Spiritfarer®: Farewell Edition,life
215074720,975370,Dwarf Fortress,colony
224023783,975370,Dwarf Fortress,colony
214004464,975370,Dwarf Fortress,colony
218364517,975370,Dwarf Fortress,colony
228368907,975370,Dwarf Fortress,colony
230406938,975370,Dwarf Fortress,colony
228370556,986130,Shadows of Doubt,emergent
223334754,986130,Shadows of Doubt,emergent
223047208,986130,Shadows of Doubt,emergent
207266336,986130,Shadows of Doubt,emergent
214435469,986130,Shadows of Doubt,emergent
213736526,986130,Shadows of Doubt,emergent
214577472,986130,Shadows of Doubt,emergent
224163331,986130,Shadows of Doubt,emergent
205608536,986130,Shadows of Doubt,emergent
219015513,986130,Shadows of Doubt,emergent
206001131,986130,Shadows of Doubt,emergent
218593999,986130,Shadows of Doubt,emergent
219312404,986130,Shadows of Doubt,emergent
221316629,986130,Shadows of Doubt,emergent
230903897,986130,Shadows of Doubt,emergent
213473539,986130,Shadows of Doubt,emergent
217568045,986130,Shadows of Doubt,emergent
