name,n_compared,first_page_helpfulness,same_n_most_recent,delta
RimWorld,100,0.93,0.97,-0.04
Dwarf Fortress,100,0.89,0.89,0.0
Oxygen Not Included,100,0.97,0.93,0.04
Factorio,100,0.99,0.97,0.02
Songs of Syx,100,0.88,0.89,-0.01
Going Medieval,77,0.9221,0.9221,0.0
Crusader Kings III,100,0.76,0.0,0.76
Europa Universalis IV,99,0.8182,0.0,0.8182
Victoria 3,100,0.48,0.62,-0.14
Caves of Qud,85,0.9176,0.9294,-0.0118
Kenshi,100,1.0,0.95,0.05
Shadows of Doubt,100,0.59,0.61,-0.02
The Sims™ 4,100,0.5,0.75,-0.25
Stardew Valley,100,0.98,0.99,-0.01
Graveyard Keeper,100,0.82,0.76,0.06
Spiritfarer®: Farewell Edition,100,0.93,0.95,-0.02
