appid,name,axis,eligible_negatives,discovery_n,heldout_n
1029780,Going Medieval,colony,231,7,11
1158310,Crusader Kings III,grand,159,5,8
1162750,Songs of Syx,colony,124,4,7
1222670,The Sims™ 4,life,223,7,10
233860,Kenshi,emergent,88,3,5
236850,Europa Universalis IV,grand,146,5,7
242920,Banished,colony,111,4,6
294100,RimWorld,colony,52,2,4
333640,Caves of Qud,emergent,64,3,4
413150,Stardew Valley,life,16,2,2
427520,Factorio,colony,37,2,3
457140,Oxygen Not Included,colony,76,3,5
529340,Victoria 3,grand,472,14,20
599140,Graveyard Keeper,life,290,9,13
666140,My Time at Portia,life,235,7,11
763890,Wildermyth,emergent,100,4,6
972660,Spiritfarer®: Farewell Edition,life,86,3,5
975370,Dwarf Fortress,colony,105,4,6
986130,Shadows of Doubt,emergent,389,12,17
