category,analyst_support,second_reader_support,both_positive,analyst_only,second_reader_only,positive_overlap_f1
bugs_crashes,6,7,5,1,2,0.769
developer_conduct,3,3,2,1,1,0.667
difficulty_punishing,3,5,3,0,2,0.75
monetization_dlc,3,5,3,0,2,0.75
non_substantive,2,2,2,0,0,1.0
npc_ai_pathing,1,2,1,0,1,0.667
opacity_teaching,3,2,2,1,0,0.8
performance,0,1,0,0,1,0.0
procgen_hollow,5,3,3,2,0,0.75
rng_unfair,0,1,0,0,1,0.0
shallow_repetitive,11,8,8,3,0,0.842
taste_mismatch,1,1,1,0,0,1.0
tedium_grind,1,6,1,0,5,0.286
ui_controls,4,5,4,0,1,0.889
unfinished_abandoned,5,4,3,2,1,0.667
update_regression,3,2,2,1,0,0.8
