name,n,days,earliest_utc,latest_utc
Stardew Valley,1200,13,2026-07-20,2026-08-02
RimWorld,1200,35,2026-06-28,2026-08-02
The Sims™ 4,1200,35,2026-06-28,2026-08-02
Factorio,1200,41,2026-06-22,2026-08-02
Kenshi,1200,65,2026-05-28,2026-08-01
Crusader Kings III,1200,69,2026-05-25,2026-08-02
Graveyard Keeper,1200,93,2026-05-01,2026-08-02
Oxygen Not Included,1200,113,2026-04-11,2026-08-02
Victoria 3,1198,145,2026-03-09,2026-08-01
Songs of Syx,1200,192,2026-01-22,2026-08-02
Europa Universalis IV,1200,228,2025-12-17,2026-08-02
Dwarf Fortress,1200,232,2025-12-12,2026-08-02
Caves of Qud,1198,250,2025-11-24,2026-08-02
Spiritfarer®: Farewell Edition,1200,259,2025-11-16,2026-08-02
Shadows of Doubt,1200,321,2025-09-15,2026-08-02
Going Medieval,1200,356,2025-08-10,2026-08-01
Banished,1200,584,2024-12-26,2026-08-01
Wildermyth,1200,766,2024-06-26,2026-08-01
My Time at Portia,1200,963,2023-12-13,2026-08-02
